sub30_040_0000;Pero ¿qué?...
sub30_040_0001;Es solo un sueño. Bueno, una pesadilla.
sub30_040_0002;Shelke...
sub30_040_0003;¿Eh? ¿Hermano?...
sub30_040_0004;Sí, soy yo. Llevaba mucho tiempo buscándote.
sub30_040_0005;¿Me buscabas?...
sub30_040_0006;Pues claro. Por fin te habías transformado en creadora y me dijeron que huiste de la catedral. Estaba muy preocupado.
sub30_040_0007;¿Saliste en mi busca? ¿Por qué? Tú tenías mucho más potencial que yo.
sub30_040_0008;Sé que mamá y papá te obligaron a ser creador.
sub30_040_0009;¿Qué te pasa? Puedes contármelo.
sub30_040_0010;Después de que te marcharas a la catedral... el ambiente en casa se volvió... insoportable.
sub30_040_0011;Intentamos ponernos en contacto contigo, pero no pudimos. Mamá se puso muy triste.
sub30_040_0012;Y papá... se dio a la bebida. Un día un incendio se los llevó a los dos. Se lo llevó todo...
sub30_040_0013;¿Qué iba a hacer? La catedral era el único lugar... al que se me ocurrió ir...
sub30_040_0014;Es decir, que tú mataste a nuestros padres.
sub30_040_0015;¿Qué? ¡No!
sub30_040_0016;Tú acabaste con ellos.
sub30_040_0017;Solamente les dabas quebraderos de cabeza. ¡Nunca hiciste nada bien!
sub30_040_0018;Estabas harta de que te regañasen tanto y un día... decidiste verlos arder.
sub30_040_0019;¡No! ¡Yo nunca sería capaz de...!
sub30_040_0020;Y sin embargo lo hiciste.
sub30_040_0021;Estás diciendo que yo...
sub30_040_0022;Sí. Y ahora que papá y mamá ya no pueden... me encargaré de castigarte.
sub30_040_0023;¿Quieres que pague por lo que les hice?...
sub30_040_0024;Quiero que... mueras.
